custom_id,text,classificacao,source
faketweetbr_train_19,Thiago Macaco NÃO MERECE PUNIÇÃO; é VÍTIMA DA SOCIEDADE OPRESSORA.,fake,train
faketweetbr_train_20,Marielle morta pelo Macaco,fake,train
faketweetbr_train_21,"Ainda estão tentando culpar a vítima pela morte cruel, jogando o tal Macaco como culpado do assassinato de Marielle (o que ainda não foi confirmado) e dizendo que ela foi culpada por defender negro e “bandido”; é mais fácil fazer isso que admitir o racismo.",true,train
faketweetbr_train_22,"Thiago Macaco é só um dos suspeitos da morte da Marielle, que inclusive foi assassinada por um grupo de pessoas; dentre outros suspeitos também tem o vereador Siciliano (PHS) e o ex-PM Orlando Oliveira.",true,train
faketweetbr_train_23,O assassino da Marielle é um negro pobre e traficante com apelido de Macaco.,fake,train
faketweetbr_train_24,Preso suspeito de envolvimento no assassinato de Marielle.,fake,train
faketweetbr_train_25,Envolvido no assassinato de Marielle é negro e chamado de Macaco!,fake,train
faketweetbr_train_26,O matador de Marielle Presente é um negro e é chamado de Macaco.,fake,train
faketweetbr_train_27,"Prisão de 'Thiago Macaco ' não está relacionado ao caso Marielle , diz delegado",true,train
faketweetbr_train_28,Prisão de 'Thiago Macaco' não está relacionado ao caso Marielle.,true,train
faketweetbr_train_29,"Prisão de 'Thiago Macaco ' não está relacionado ao caso Marielle , diz delegado",true,train
faketweetbr_train_30,"Polícia prende Thiago Macaco, suspeito de envolvimento com milícia de Jacarepaguá e citado por delator do caso Marielle.",fake,train
faketweetbr_train_31,"Thiago Bruno Mendonça, conhecido como Thiago Macaco, foi preso no shopping Nova América na tarde desta terça (30) e é acusado de envolvimento nas mortes da vereadora Marielle.",fake,train
faketweetbr_train_32,já podem retirar o argumento de que Marielle morreu por ser negra,fake,train
faketweetbr_train_33,"Thiago macaco, suspeito de estar envolvido na execução de Marielle Franco, foi preso no shopping nova América.",fake,train
faketweetbr_train_34,"Homem conhecido como Thiago Macaco (33) foi preso ontem no Rio; suspeito de envolvimento no assassinato da vereadora Marielle /PSOL, foi preso pela morte de Carlos Alexandre Pereira, o Cabeça, colaborador do vereador Marcello Siciliano/(PHS).",fake,train
faketweetbr_train_35,"A foto mostra Miguel Ángel Zuvic e sua esposa, Ema, com Néstor e Cristina Kirchner, não @dilmabr nem o traficante Pablo Escobar.",true,train
faketweetbr_train_36,"Foto antiga é usada para alegar falsa reunião entre casal Kirchner, Dilma e Pablo Escobar.",true,train
faketweetbr_train_37,"Montagem em foto antiga coloca casal Kirchner, Dilma e Pablo Escobar em falsa reunião",true,train
faketweetbr_train_38,"Os ex-presidentes argentinos Néstor e Cristina Kirchner estão na foto, mas Dilma e Pablo Escobar não.",true,train
faketweetbr_train_39,A ex-presidente Dilma Rousseff aparece em foto com Pablo Escobar.,true,train
faketweetbr_train_40,"Tão compartilhando de novo aquela foto que dizem ser da Dilma com o Pablo Escobar, e o Facebook não bloqueia essas Fake News e seus propagadores.",true,train
faketweetbr_train_41,"Existe uma foto da Dilma, Pablo Escobar e Kirchner.",fake,train
faketweetbr_train_42,Não é Dilma e o cara não é Pablo Escobar.,true,train
faketweetbr_train_43,Acho que o Pablo Escobar aprendeu a ser mafioso com a Dilma.,fake,train
faketweetbr_train_44,"A foto de Dilma com Pablo Escobar é uma evolução em relação aquela com Hitley, pelo menos eles estavam vivos na mesma época",true,train
faketweetbr_train_45,"No governo Bolsonaro, almoço no Planalto é no bandejão mesmo; acabou a farra da era PT de ter chefe com cardápio francês; quem prepara as comidas são taifeiros militares, isso significa custo zero de mão de obra.",fake,train
faketweetbr_train_46,"Almoço no Planalto agora é no bandejão, acabou a farra da era PT de ter chefe com cardápio francês, e quem prepara as comidas são taifeiros militares, o que significa custo zero de mão de obra.",fake,train
faketweetbr_train_47,"Chega de contratar chefs franceses; almoço no Planalto agora é no bandejão, preparado por taifeiros militares, com CUSTO ZERO de mão de obra; Presidente Bolsonaro dá exemplo.",fake,train
faketweetbr_train_48,No governo Bolsonaro almoço no Planalto é no bandejão mesmo! Acabou a farra da era PT de ter cheff com cardápio francês.,fake,train
faketweetbr_train_49,"Salada, churrasco e batata frita: o almoço de Bolsonaro no bandejão do Planalto",true,train
faketweetbr_train_50,Bolsonaro almoça pela primeira vez no bandejão dos funcionários do Palác...,true,train
faketweetbr_train_51,Bolsonaro é o primeiro chefe do Executivo a almoçar no bandejão da presidência.,true,train
faketweetbr_train_52,Presidente Bolsonaro é flagrado comendo no bandejão do Palcário do Planalto.,true,train
faketweetbr_train_53,Bolsonaro almoça no 'bandejão' do Palácio do Planalto com ministros e assessores.,true,train
faketweetbr_train_54,Este esquerdopata que chamou Jesus Cristo de travesti e bicha é atração da #GloboLixo para o criança esperança.,fake,train
faketweetbr_train_55,O Criança Esperança desse ano terá uma participação especial do mesmo imbecil que chamou Nosso Senhor Jesus Cristo de travesti.,fake,train
faketweetbr_train_56,"As crianças com necessidade não tem nada a ver com disputa eleitoral; os necessitados sofrerão por causa de idiotas, como os que comentam o mesmo do criança esperança por causa de um apresentador que disse que Jesus era travesti.",fake,train
faketweetbr_train_57,"Johnny Hooker dizer que Jesus é travesti prova que ele é xenofobico, e o mesmo esteve na rede globo, fazendo parte das atrações do criança esperança.",fake,train
faketweetbr_train_58,"Tomou em vão o nome do nosso Senhor, o chamou de travesti e ainda vai marcar presença no Criança Esperança.",fake,train
faketweetbr_train_59,O idiota que xingou Jesus de travesti será atração do Criança Esperança.,fake,train
faketweetbr_train_60,Aquela coisa q chamou Jesus de travesti vai ser atração do criança esperança; vamos boicotar.,fake,train
faketweetbr_train_61,CHAMOU JESUS DE TRAVESTI E SERÁ ATRAÇÃO NO CRIANÇA ESPERANÇA DO GLIBO LIXO!,fake,train
faketweetbr_train_62,"Usar 'Cristo' ñ é certo em qualquer ocasião; legal mesmo é chamar Jesus de travesti, bicha igual o @ que foi no Criança Esperança.",fake,train
faketweetbr_train_63,"Desrespeitar a religião alheia e chamar Jesus de travesti; depois, ir no criança esperança pedir dinheiro.",fake,train
faketweetbr_train_64,"Após chamar Jesus de travesti, Johnny Hooker canta no Criança Esperança.",fake,train
faketweetbr_train_65,A tag Criança Esperança estava em primeiro lugar no Tt e o Twitter derrubou a tag.,fake,train
faketweetbr_train_66,A criatura que chamou Jesus Cristo de travesti é uma das atrações do Criança Esperança.,fake,train
faketweetbr_train_67,"Globo colocou Johnny Hooker no Criança Esperança, aquele que chamou Jesus de travesti.",fake,train
faketweetbr_train_68,Não doe ao Criança Esperança; essa corja chama Jesus de travesti.,fake,train
faketweetbr_train_69,O cara que fala que Jesus é travesti e gay está na Globo no criança esperança.,fake,train
faketweetbr_train_70,Vocês usam o nome de Criança Esperança pra por no ar alguém que chamou Jesus de travesti em rede nacional.,fake,train
faketweetbr_train_71,jhonny hooker (que chamou Jesus de bicha e travesti) vai participar do criança esperança.,fake,train
faketweetbr_train_72,"O cantor Johnny Hooker, que xingou Jesus de travesti, estará no Criança Esperança.",fake,train
faketweetbr_train_73,Criança Esperança terá apresentação do transformista que igualou Jesus a travesti.,fake,train
faketweetbr_train_74,Essa CARNIÇA chamou JESUS de travesti e vai estar no Criança Esperança.,fake,train
faketweetbr_train_75,o idiota q chamou Jesus de bicha de travesti vai participar do Criança Esperança da Globo,fake,train
faketweetbr_train_76,Quem chamou Jesus de “travesti” ganhou um prêmio da ONU e foi convidado pra se apresentar no Criança Esperança da Globo.,fake,train
faketweetbr_train_77,"A Globo depois desconta do imposto de renda o dinheiro, e Johnny Hooker que chamou Jesus de bicha e travesti vai se apresentar no Criança Esperança (ou estão escondendo?).",fake,train
faketweetbr_train_78,"Cantor que afirmou que Jesus é travesti e ""bicha"" é denunciado no Ministério Público Federal - Então é esse o artista que vai participar do Criança Esperança",fake,train
faketweetbr_train_79,Cristãos irão doar no criança esperança da globo mesmo depois daquele cantorzinho dizer que JESUS é travesti e que JESUS é bicha.,fake,train
faketweetbr_train_80,Cantor que chamou Jesus de travesti se apresentará no Criança Esperança.,fake,train
faketweetbr_train_81,A ABIN lançou nota negando que o desastre de Brumadinho foi um atentado terrorista feito por 1 cubano e 1 venezuelano.,true,train
faketweetbr_train_82,foi preciso a abin se pronunciar a respeito de fake news onde alegava que a tragédia de brumadinho foi devido a ataque terrorista cubano / venezuelano.,true,train
faketweetbr_train_83,Fake new distribuída pela extrema-direita nas redes sociais atribui a um venezuelano e a um cubano imaginários uma explosão terrorista que teria gerado a tragédia na barragem de Brumadinho.,true,train
faketweetbr_train_84,O rompimento da barragem de Brumadinho pode ter sido um ato terrorista — um cubano e um venezuelano estariam envolvidos.,true,train
faketweetbr_train_85,"A tragédia em Brumadinho foi, na verdade, um atentado terrorista causado por um cubano e um venezuelano.",true,train
faketweetbr_train_86,O STF resolveu dar salvo conduto a Lula no dia 04 de abril e ele estará solto.,fake,train
faketweetbr_train_87,NOTÍCIA DE SALVO CONDUTO DE LULA É FAKE.,true,train
faketweetbr_train_88,"A ministra Cármen Lúcia, do Supremo Tribunal Federal ( STF ), enviou ao advogado José Roberto Batochio o salvo-conduto do ex-presidente Lula. O documento autoriza o petista a viajar e transitar livremente.",fake,train
faketweetbr_train_89,Lula recebe o salvo conduto do STF.,fake,train
faketweetbr_train_90,STF dá salvo conduto para Lula.,fake,train
faketweetbr_train_91,O STF já deu o salvo conduto para o Lula e vai soltar o Lula e mais 170 bandidos de alta periculosidade.,fake,train
faketweetbr_train_92,STF DA SALVO CONDUTO A LULA QUE DEVERÁ SER SOLTO PRÓXIMAS HORAS.,fake,train
faketweetbr_train_93,"Parece que terá salvo conduto para Lula deixar a prisão política que se encontra, via STF.",fake,train
faketweetbr_train_94,"Lula, Cunha, Cabral, Vacari Neto e Zé Dirceu podem receber hoje, das mãos do STF, alvarás/salvo conduto de impunidade e detonar o governo Bolsonaro.",fake,train
faketweetbr_train_95,"MST e petistas invadem Brumadinho para ROUBAR o que é de direito das vítimas da tragédia da barragem, vindo de longe para ocupar as terras.",fake,train
faketweetbr_train_96,A presença do MST em Brumadinho é apenas para reforçar o apoio às famílias atingidas pelas barragens.,true,train
faketweetbr_train_97,O MST está perseguindo as famílias das vítimas em Brumadinho.,fake,train
faketweetbr_train_98,"MST invade BRUMADINHO para reivindicar as terras, o que é de direito das vítimas da tragédia da barragem.",fake,train
faketweetbr_train_99,Vagabundos do MST vêm de tudo quanto é lugar pra pegar as terras em Brumadinho.,fake,train
faketweetbr_train_100,MST tá lá em Brumadinho querendo lucrar.,fake,train
faketweetbr_train_101,A invasão de Brumadinho pelo MST é em busca de alguma boquinha (indenização).,fake,train
faketweetbr_train_102,MST invadiu Brumadinho para tomar terras de atingidos pela barragem.,true,train
faketweetbr_train_103,"MST invadem Brumadinho para reivindicar as terras que são de direito das vítimas da tragédia da barragem, como se fossem vítimas do rompimento.",fake,train
faketweetbr_train_104,Oportunistas do MST em Brumadinho são questionados pelos reais moradores.,fake,train
faketweetbr_train_105,Os vagabundos do MST agora resolveram envadi brumadinho,fake,train
faketweetbr_train_106,Um dos sites anti-hoax desmentiu o boato de que o MST teria roubado vítimas do crime ambiental em Brumadinho; quem roubou foi a Vale privatizada.,true,train
faketweetbr_train_107,MST e petistas invadem Brumadinho para roubar o que é de direito das vítimas da tragédia da barragem e ocupar terras.,fake,train
faketweetbr_train_108,Um dos sites anti-hoax desmentiu o boato de que o MST teria roubado vítimas do crime ambiental em Brumadinho; quem roubou foi a Vale privatizada.,true,train
faketweetbr_train_109,O MST invadiu Brumadinho.,fake,train
faketweetbr_train_110,MST e petistas invadem Brumadinho para ROUBAR o quê é de direito das vítimas da tragédia da barragem e vêm de longe para ocupar as terras.,fake,train
faketweetbr_train_111,"Faltou proteger Brumadinho, terra devastada e com imóveis sem donos; lá o MST se instalou.",fake,train
faketweetbr_train_112,"O MST se tornou carniceiros, como se ja não bastasse serem terroristas.",fake,train
faketweetbr_train_113,"MST é PT, estão tumultuando Brumadinho e querem receber terras que serão distribuídas para as famílias das vítimas.",fake,train
faketweetbr_train_114,O MST já está em Brumadinho pra fazer inferno e querer roubar o que é de direito dos moradores.,fake,train
faketweetbr_train_115,O MST invadiu Brumadinho.,fake,train
faketweetbr_train_116,MST invade BRUMADINHO !,fake,train
faketweetbr_train_117,"Militontos do MST invadem Brumadinho não para ajudar, e sim para usurpar terras e benefícios que possam ser gerados devido à tragédia.",fake,train
faketweetbr_train_118,"Os vagabundos dos MST estão lá em Brumadinho, tentando roubar a ajuda que eles recebem.",fake,train
faketweetbr_train_119,"PT e seu braço armado, o MST, estão invadindo a já devastada Brumadinho.",fake,train
faketweetbr_train_120,"MST c/escritório nos EUA, ñ são pobres, invadiram Brumadinho pq se acham no direito de receber indenizações; são terroristas.",fake,train
faketweetbr_train_121,Manifestantes do MST estão confrontando e acuando os moradores de Brumadinho; invadiram a cidade.,fake,train
faketweetbr_train_122,MST e petistas invadem Brumadinho para roubar o que é de direito das vítimas da tragédia da barragem e ocupar as terras.,fake,train
faketweetbr_train_123,O MST está invadindo Brumadinho.,fake,train
faketweetbr_train_124,MST e petistas invadem Brumadinho para ROUBAR o quê é de direito das vítimas da tragédia da barragem e vêm de longe para ocupar as terras.,fake,train
faketweetbr_train_125,O povo de Brumadinho sofre a ameaça de invasão do MST e dos aproveitadores do PT.,fake,train
faketweetbr_train_126,MST já está em brumadinho jurando de pé junto que vive lá a milhões de anos.,fake,train
faketweetbr_train_127,"O MST está em Brumadinho para roubar e dar golpe, não para ajudar.",fake,train
faketweetbr_train_128,"MST só foi a brumadinho porque a vele do rio dose despejou muita terra; mais pra ajudar os inocente coberto por lama, só israel.",fake,train
faketweetbr_train_129,"Os vermes de Cuba, MST e petistas invadem Brumadinho para SAQUEAREM o quê é de direito das vítimas da tragédia da barragem!",fake,train
faketweetbr_train_130,Brumadinho foi invadida pelo MST para tumultuar a cidade e prejudicar o povo já sofrido da região.,fake,train
faketweetbr_train_131,MST invadindo Brumadinho.,fake,train
faketweetbr_train_132,"Os vermes MST e petistas invadem Brumadinho para ROUBAR o quê é de direito das vítimas da tragédia da barragem; vêm de longe para ocupar as terras, temos que denunciar urgente.",fake,train
faketweetbr_train_133,"MST e petistas invadem Brumadinho (MG) para roubar o que é de direito das vítimas do rompimento da barragem, ocupando as terras de pessoas que ainda nem se recuperaram.",fake,train
faketweetbr_train_134,MST realiza ato político em apoio às famílias de Brumadinho.,true,train
faketweetbr_train_135,MST convoca ato nesta sexta-feira (5) contra os crimes da Vale em Brumadinho.,true,train
faketweetbr_train_136,"MST convoca ato político em apoio aos sem terra atingidos pela mineração; em Minas Gerais, famílias sem terra lutam contra os efeitos do crime da Vale em Brumadinho em ato nesta sexta-feira (05).",true,train
faketweetbr_train_137,Ontem 400 mulheres do @MST _Oficial e do Movimento Pela Soberania Popular na Mineração (MAM) bloquearam a passagem de um trem da Vale perto de #Brumadinho.,true,train
faketweetbr_train_138,"Por mortos de Brumadinho e Marielle, mulheres do MST bloqueiam trem em Sarzedo.",true,train
faketweetbr_train_139,Protestavam contra a impunidade da Vale no caso Brumadinho e em nome da Marielle; hj faz 1 ano q ela foi assassinada e as investigações ainda não acabaram.,true,train
faketweetbr_train_140,400 mulheres sem terra denunciam o assassinato em massa com o rompimento da barragem de Brumadinho e as mulheres do MST pararam o trem da Vale.,true,train
faketweetbr_train_141,Mulheres do MST e do MAM ocuparam os trilhos da Vale em Minas Gerais para denunciar o crime da empresa em Brumadinho e o assassinado de Marielle Franco.,true,train
faketweetbr_train_142,"Ação do MST e do MAB bloqueou trem de minérios em Sarzedo, criticou modelo predatório de mineração e pediu justiça para Marielle. A Polícia Militar agiu com violência e feriu 10 pessoas.",true,train
faketweetbr_train_143,"Em Minas Gerais, acampamentos do MST são afetados pelo rompimento da barragem de Brumadinho.",true,train
faketweetbr_train_144,É falsa mensagem atribuída a Gleisi Hoffmann desmerecendo Ayrton Senna.,true,train
faketweetbr_train_145,É falsa mensagem atribuída a Gleisi Hoffmann desmerecendo Ayrton Senna,true,train
faketweetbr_train_146,É #FAKE que Gleisi Hoffmann disse que não vê motivos para homenagens a Senna,true,train
faketweetbr_train_147,Gleisi Hoffmann é alvo de fake news em relação às homenagens ao piloto Ayrton Senna.,true,train
faketweetbr_train_148,Gleisi Hoffman elogia Maduro e a ditadura na Venezuela e é uma grande fake.,fake,train
faketweetbr_train_149,Fala de Gleisi sobre Ayrton Senna que circula nas redes sociais é falsa,fake,train
faketweetbr_train_150,@gleisi está comparando Senna a ladrão desgraçado.,fake,train
faketweetbr_train_151,@gleisi disse que não vê motivos para homenagear Airton Senna.,fake,train
faketweetbr_train_152,Gleisi falou mal do Senna e diz q o PT se baseia em Jesus e q Lula se compara a Jesus.,fake,train
faketweetbr_train_153,Pelé não morreu.,true,train
faketweetbr_train_154,Morreu Pelé !,fake,train
faketweetbr_train_155,Pelé morreu.,fake,train
faketweetbr_train_156,"PT, PSOL e PCdoB transformaram Praia Vermelha (Urca) em praia de nudismo.",true,train
faketweetbr_train_157,"PRAIA VERMELHA, vizinha ao Morro da Urca, virando praia de nudismo para afrontar os militares, que têm unidades nessa praia, esperando uma represália, para que haja um confronto e então chamar os militares de gorilas truculentos, tudo orquestrado por PT, Psol PCdoB.",fake,train
faketweetbr_train_158,"Praia vermelha, vizinha ao Morro da Urca, virando praia de nudismo; a intenção foi afrontar os militares que têm uma unidade na praia Vermelha, esperando uma represália.",fake,train
faketweetbr_train_159,Agora a Praia da Urca é praia de nudismo???,fake,train
faketweetbr_train_160,É falsa a declaração de que Moro teria dito que manifestações seriam de meia dúzia de estudantes despreparados.,true,train
faketweetbr_train_161,Moro não disse que manifestações são de ‘meia dúzia de estudantes despreparados ’.,true,train
faketweetbr_train_162,Moro não disse que manifestações são de ‘meia dúzia de estudantes despreparados ’.,true,train
faketweetbr_train_163,"Moro também ataca os estudantes, dizendo que são “despreparados”.",fake,train
faketweetbr_train_164,Meia dúzia de estudantes despreparados não vão atrapalhar o governo.,fake,train
faketweetbr_train_165,Moro rodou 5 vezes na prova da OAB.,fake,train
faketweetbr_train_166,Meia dúzia de estudantes despreparados não vão atrapalhar o governo.,fake,train
faketweetbr_train_167,"É MENTIRA que pinos para consumo de crack e cocaína tenham sido encontrados na UFES; trata-se de material coletado durante uma ação realizada por uma ONG em um manguezal de Santos, SP.",true,train
faketweetbr_train_168,Aluna da UFES recolhe vários pinos de cocaína usados no campus!,true,train
faketweetbr_train_169,É #FAKE que Damares Alves defendeu revogação da Lei Maria da Penha,true,train
faketweetbr_train_170,É #FAKE que Damares Alves defendeu revogação da Lei Maria da Penha.,true,train
faketweetbr_train_171,Ministra Damares irá revogar a Lei Maria da Penha.,true,train
faketweetbr_train_172,A ministra Damares Alves revogará a Lei Maria da Penha.,true,train
faketweetbr_train_173,A ministra Damares Alves revogará a Lei Maria da Penha.,true,train
faketweetbr_train_174,Damares não revogará Lei Maria da Penha nem disse que texto ‘é do diabo’,true,train
faketweetbr_train_175,"Damares, ministra dos direitos humanos, disse q a Lei Maria da Penha é uma lei do diabo porque a Bíblia diz q o varão tem direito de ""corrigir"" sua mulher. O ministro Onix Lorenzoni disse q mulheres preferem armas a Lei Maria da Penha.",fake,train
faketweetbr_train_176,"A suposta ""rachadura"" da ponte Rio-Niterói na vdd eh uma folga existente justamente p que nao ocorra um acidente caso o concreto e o aço sofram algum tipo de expansão/dilatação.",true,train
faketweetbr_train_177,a Ponte Rio Niterói apresenta uma tremenda rachadura,fake,train
faketweetbr_train_178,Rachadura na ponte Rio-Niterói pode ser o início de uma grande tragédia.,fake,train
faketweetbr_train_179,Há uma grande rachadura na ponte Rio-Niterói.,fake,train
faketweetbr_train_180,A Ponte rio niterói tem uma rachadura sinistra,fake,train
faketweetbr_train_181,Rachadura enorme em ponte Rio Niterói?,fake,train
faketweetbr_train_182,Não é rachadura. É uma junta de dilatação da ponte rio niteroi,true,train
faketweetbr_train_183,LULA FOI INDICADO PELA REVISTA FORBES COMO O MAIOR LADRÃO DO MUNDO,fake,train
faketweetbr_train_184,Câncer tem cura com a planta ARANTO.,fake,train
faketweetbr_train_185,É falso que Dilma Rousseff gastou R$ 73 milhões em salão de beleza.,true,train
faketweetbr_train_186,É falso que o Brasil comprou ou ganhou de Israel 15 helicópteros militares.,true,train
faketweetbr_train_187,"Depois que foi descoberto que o assassino de Marielle era do PT, ninguém fala mais.",fake,train
faketweetbr_train_188,Essa planta cura até câncer.,true,train
faketweetbr_train_189,Câncer tem CURA com a planta ARANTO; só morre de câncer quem não tem conhecimento e não conhece a planta ARANTO.,fake,train
faketweetbr_train_190,15 helicópteros AH-64 Apache foram doados ao povo brasileiro.,fake,train
faketweetbr_train_191,"73,07% das urnas apuradas: Dilma 53,16%, Serra 46,84%.",true,train
faketweetbr_train_192,73 milhões no salão de beleza e a Dilma não ficou bonita.,fake,train
faketweetbr_train_193,"Aveloz ou Aranto são plantas que trouxeram cura do câncer para pessoas em fase terminal inclusive, e a Ana pode tomar paralelo ao tratamento.",fake,train
faketweetbr_train_194,Você havia cancelado os 8 mil radares e a Marina Silva foi a justiça e conseguiu liberar.,fake,train
faketweetbr_train_195,O presidente Bolsonaro conseguiu helicópteros do primeiro ministro de Israel para trazer ao Brasil para combater o crime nas favelas.,fake,train
faketweetbr_train_196,A Dilma gastou 73 milhões com um salão de beleza.,fake,train
faketweetbr_train_197,A Forbes elegeu Dilma uma das mulheres mais poderosas do mundo e estampou a cara dela na capa; Lula também já foi capa dessa revista.,true,train
faketweetbr_train_198,A revista Forbes atribui a Lula uma fortuna pessoal estimada em mais de R$ 2 bilhões de dólares.,fake,train
faketweetbr_train_199,A fortuna de Lula de acordo com a Forbes.,true,train
faketweetbr_train_200,"O nome do ex-presidente @LulaOficial não está no ranking dos mais ricos do mundo elaborado pela revista Forbes em 2006. Naquele ano, 16 brasileiros figuraram na lista de bilionários, mas Lula não foi um deles.",true,train
faketweetbr_train_201,ARANTO planta q cura câncer.,fake,train
faketweetbr_train_202,Israel havia doado 15 helicópteros para as forças armadas brasileiras.,true,train
faketweetbr_train_203,Globo e a esquerda pararam de falar da Marielle porque descobriram que o assassino e o mandante são de um partido puxadinho do PT.,fake,train
faketweetbr_train_204,Suco de ARANTO para a CURA do câncer.,fake,train
faketweetbr_train_205,"Após o surgimento da suspeita de que o assassino de Marielle era do PT, ninguém fala mais.",fake,train
faketweetbr_train_206,"Aranto, além de atuar no tratamento de câncer, é ótima para curar doenças da pele, lesões e feridas.",fake,train
faketweetbr_train_207,"Aranto é uma planta usada para combater sérios problemas de saúde, principalmente o câncer.",fake,train
faketweetbr_train_208,"Aranto cura o câncer e muitas outras doenças, dizem as pesquisas!",fake,train
faketweetbr_train_209,"O aranto é indicado para o tratamento contra o câncer, serve para curar doenças de pele, lesões, feridas, gangrenas e hemorragias e, devido ao seu efeito sedativo, diz-se ainda que ajuda a tratar problemas psicológicos, como por exemplo a esquizofrenia.",fake,train
faketweetbr_train_210,Assassino da Marielle é apoiador do Lula e PT.,fake,train
faketweetbr_train_211,É falso que Marina Silva entrou na Justiça para garantir a instalação de 8 mil radares.,true,train
faketweetbr_train_212,O assassino da Marielle é eleitor do PT e do Lula.,fake,train
faketweetbr_train_213,"Bradil ganha de presente de Israel 15, helicópteros AH-64 Apache, o mais avançado para combater o crime organizado.",fake,train
faketweetbr_train_214,"Brasil ganha de presente de Israel 15 helicópteros AH-64 Apache, o mais avançado para combater o crime organizado.",fake,train
faketweetbr_train_215,"Brasil ganha de presente de Israel 15 helicópteros AH-64 Apache, o mais avançado, para combater o crime organizado.",fake,train
faketweetbr_train_216,"CPI da Petrobrás e queda de popularidade da DILMA causam isso: PETR3 +5,73%; PETR4 +5,69%; BB +6,39%; ELET3 +10,53% e ELET6 +5,76%.",true,train
faketweetbr_train_217,Forbes: Fortuna pessoal de Lula é estimada em 2 Bilhões de dólares!,fake,train
faketweetbr_train_218,"Lula na forbes com um dos mais ricos do mundo, sua fortuna ultrapassa a sigla dos BILHÕES DE DÓLARES!",fake,train
faketweetbr_train_219,Lula e seus filhos são milionários.,true,train
faketweetbr_train_220,Israel doou 15 helicópteros pra o Brasil durante a visita de Bolsonaro a Israel.,true,train
faketweetbr_train_221,"De acordo com a metodologia da FORBES, existem alguns bilionários que são políticos; Lula não é um deles.",true,train
faketweetbr_train_222,O assassino de Marielle é membro da organização criminosa PT e ainda usa camisa com a foto do líder criminoso preso.,fake,train
faketweetbr_train_223,"ENQUANTO CUBA, VENEZUELA, ENTRE OUTROS NOS DÃO CALOTE, ISRAEL NOS DA HELICÓPTEROS!",fake,train
faketweetbr_train_224,"Um salão de beleza que @dilmabr frequentava recebeu a bagatela de 73 milhões de reais, e esta mesma Coaf não divulgou nada.",fake,train
faketweetbr_train_225,Esta planta cura vários tipos de câncer.,fake,train
faketweetbr_train_226,"Eu creio que o PT roubou mais em menos tempo, em 8 anos Lula fez o pé de meia bilionário (somando a fortuna da família passa de 4 bilhões, Revista Forbes).",fake,train
faketweetbr_train_227,Lula figura na revista Forbes com uma fortuna em torno de 2 bilhões de reais.,fake,train
faketweetbr_train_228,Existem dois chás que auxiliam na cura do câncer: Aranto e Graviola.,fake,train
faketweetbr_train_229,Aranto planta que cura câncer.,fake,train
faketweetbr_train_230,Fortuna pessoal de Lula é estimada em 2 Bilhões de dólares!,fake,train
faketweetbr_train_231,Governo DILMA / TEMER pagou R$ 73 milhões a salão de beleza no agreste de Pernambuco,fake,train
faketweetbr_train_232,Governo israelense faz doação de 15 Helicópteros AH-64 para o Brasil durante visita de Bolsonaro à Israel.,fake,train
